리뷰키,카테고리 코드,제품명,브랜드,모델코드,리뷰,도움 수,사진 수,댓글 수,텍스트 길이,기본값 1,작성시간,경과시간,인기 점수
1VTaNl,AIRPU,코웨이,노블 공기청정기 15평형,AP-1521B,"장점 :
일단 자동으로 맞추어놓으면 알아서 모드 변경해서  작동되서 편하고 어플을 통해 제어가능하며 실내외 공기 이상발생 시 알림서비스가 와서 믿음주는 시스템입니다.

단점 :
생각보다 크기가 크다는것 외에는 별다른 단점을 아직 발견 못했습니다. 
",0,2,0,339,1,2022-04-29 10:37:41,159,0.2890270848
1VTaRl,AIRPU,SK매직,올클린 공기청정기 20평형,ACL20C1AS,"장점 :
원통형으로 360° 공기청정이 가능해  평면 공기청정기보다 보다 많은 먼지를 정화할 수 있을거라 믿습니다.

단점 :
매니저가 방문하더라도 중간중간 직접 프리필터에 있는 먼지를 
직접 청소해줘야되서 약간의 번거로움이 있습니다. 
",1,2,0,318,1,2022-04-29 10:39:02,159,0.9896347232
1VTaRn,AIRPU,코웨이,노블 공기청정기 30평형,AP-3021D,"장점 :
일단 디자인이 너무 이뻐서 저희거실에도 잘어울려서 좋았어요 모던한느낌이라 유행도안탈것같고 소음도 조용해서 좋아요

단점 :
단점은 너무 조용해서 작동을 하는건가 이런생각은 들었어요 ..그만큼 소음은 안나는 제품입니다.
",0,2,0,315,1,2022-04-29 10:42:36,159,0.2890270848
1VTaa7,BIDET,쿠쿠,직수형 클렌비스 비데 (CBT-C1031W),CBT-C1031W,"장점 :
동작이 간편하고 작동이 잘된다. 많은 기능 필요없는 사람한테는 딱이다.

단점 :
세정력 조절을 매번 해줘야해서 약간 불편하고 그것 이외에는 단점 모르겠다.
",0,1,0,221,1,2022-05-01 23:04:59,158,-0.6998422514
6Dy8qGW,BIDET,SK매직,올클린 버블 살균 비데,BIDS36DR26WH,"장점 :
버블세척으로 더 깨끗하고 편리한 관리가 가능
물청소를 하더라도 안심하고 청소할수있는 방수능력


단점 :
가격적으로 3천원정도만 더 저렴했으면 하는 
개인적인생각 말고는 없음
",0,2,0,251,1,2022-05-03 14:52:07,158,0.2901627526
6Dy8qGX,BIDET,코웨이,더블케어 플러스 비데,BAS38-A,"장점 :
일단 코웨이라서 믿고 구매했습니다. 자동 세척 기능때문에ㅇ 제품을 선택했는데 항상 깨끗하게 관리되고 있어서 정말 편리합니다.

단점 :
단점은 딱히 없는데 저는 자동 물내림 기능을 추가 했는데 이걸 온오프가 가능하면 좋겠네요 
",0,2,0,320,1,2022-05-03 15:01:34,158,0.2901627526
6Dy8qGY,BIDET,코웨이,더블케어 비데,BAS37-A,"장점 :
비데 사용할때 마다 알아서 노즐 세척을 해줘서 깨끗하게 사용할수 있고 노즐 원하는 위치로 할수 있어서 너무 만족합니다

단점 :
세정하는데  시간이 조금 짧은거 같습니다  그거말고는 단점은 찾아볼수가 없네요
",0,2,0,293,1,2022-05-03 18:09:02,158,0.2901627526
6Dy8qKf,AIRPU,LG,퓨리케어 360° 공기청정기 펫플러스 19평형,AS191DNPRM,"장점 :
진짜 있고 없고 차이는 심한거같아요 강아지 털 날라다니는거ㅛ도 80프로 이상 잡아주네요 대박 ㅎ

단점 :
펫모드로 해놓으면 소음이 조금 있어요ㅠㅠ 근데 신경쓰일정도는 아니고 계속 돌아가서 잡아주긴해요
",0,2,0,288,1,2022-05-27 21:03:12,155,0.293635818
6Dy8qKn,AIRPU,SK매직,올클린 공기청정기 25평형,ACL25C1AS,"장점 :
디자인이 예뻐서 사무실에 둬도 튀지않고 어우려져 이뻐요 청정능력도  다른제품들과 비교해 떨어지지 않아요 만족합니다!

단점 :
특별히 불편한점은 딱히 없어요  크기가 커서 옮길때  전선줄이 조금 더 길었음 좋겠어요 
",0,1,0,304,1,2022-05-29 20:03:02,154,-0.2236291508
6Dy8qOs,AIRPU,SK매직,올클린 공기청정기 25평형,ACL25C1AS,"장점 :
일단 디자인이 참 마음에 듭니다~ 크기가 생각보다 커서 놀랐지만 40평대 아파트 거실이 두니 그렇게 크지도 않고 공기정화 능력도 좋은듯 해서 만족하며 사용 중입니다~

단점 :
아직까지 사용하면서 특별한 단점은 아직 발견 못했네요 ㅎㅎ 정말 굳이 하나 뽑는다면.. 크기가 많이 크다는 정도?!
",0,2,0,399,1,2022-06-23 16:50:53,151,0.2984271881
6Dy8qSz,AIRPU,코웨이,노블 공기청정기 15평형,AP-1521B,"장점 :
일단크고요 바람 잘나와요

바퀴도 달려있어서 끌고다니기편해요

디자인도 괜찮고요 심플하고 괜찮음



단점 :
바람은 잘나오고있는거에비해

음 잘되고있는건지 의심스럽기하고요

바퀴는 달려있지만 가끔 선이 걸려서 들어서 빼야할때있어요

디자인은 괜찮은데 커서그런지 무겁긴함

쪼끔 아쉬운건 바람조절 단계가 별로없어서 아쉽긴해요
",0,2,0,467,1,2022-06-23 16:58:29,151,1.120772031
6Dy8qT3,AIRPU,LG,퓨리케어 360° 공기청정기 알파 20평형,AS201NNFRM,"장점 :
공기 청정 능력이 확실하며 디자인이 매우 이쁘고 기능도 다양하게 존재함

단점 :
냄새 제거가 초반에는 잘 되었으나 지금은 잘 안되는 느낌, 필터 교체 주기가 좀 긴듯?
",0,2,0,234,1,2022-06-23 17:05:04,151,-0.1949797175
6Dy8qX3,AIRPU,SK매직,올클린 공기청정기 20평형,ACL20C1AS,"장점 :
조용하고 필터청소가 쉬우며 와이파이기능이 있어서 휴대폰으류 언제 어디서든 관리가 용이함

단점 :
없음없음없음없음없음없음없음없음없음없음없음없음없음없음없음
",0,2,0,237,1,2022-06-23 17:06:48,151,-0.1949797175
6Dy8qbB,AIRPU,LG,퓨리케어 360° 펫 공기청정기 플러스 30평형,AS301DNPRM,"장점 :
공기청정기의경우  다른공청보다 냄새를 빨리 잡아주기도하고
강아지 털도 위 아래로 다 빨아서 잡아주다보니 깨끗한 공간을 유지하기 쉬운점 그리고 공청 필터 갈고 하는게 너무 간편해서
혼자서도 쓱쓱 하기 좋고 그리고 모드? 종류가 많다보니 좋아용


단점 :
사용한지 한달 넘었는데 큰 단점은 못느끼겠습니다 
단점이라고 굳이 뽑는다고하면  공청모드는 많은데
쓰는건 정해져있디!? 이것밖에는 없네용
",0,2,0,550,1,2022-06-23 19:17:27,151,1.120772031
6Dy8qbC,AIRPU,LG,퓨리케어 360° 공기청정기 펫플러스 19평형,AS191DNPRM,"장점 :
작은방에서 사용하기에  사이즈가 딱이라서 아주 잘쓰고있어요소음도 없눈편이고 강아지털도 잘 잡아줘서 너무 맘에들어요
정말 잘쓰고있습니다 

단점 :
단점이라고 딱히 느끼는건 없는데 작은거에 비해
조금 무겁다? 근데 공청 다 무겁지 않나요....하하
",0,2,0,347,1,2022-06-23 19:20:20,151,0.2984271881
6Dy8qbD,AIRPU,LG,퓨리케어 360° 펫 공기청정기 플러스 30평형,AS301DNPRM,"장점 :
강아지 유치원에서  큰거 두대랑 작은거 한대 쓰고있는데
애들 털 싹잡아줘서 너무너무 좋아요 ㅎㅎ비염심한 저에겐 
공청이 진짜 은인같아여 공청필터 갈때도 너무 쉽더라구용
냄새도 잘잡아주고 진짜 너무 맘에들어요
공청은 퓨리진짜 추천합니다

단점 :
단점이라고는 느꼈던게 정말 없어요... 굳이찾는다고 하면
공청모드가 많아서 좋긴한데 다 쓰진 않는다는거 말고는
정말 없어요 그냥 다 맘에드는데....ㅎㅎ
",0,2,0,558,1,2022-06-23 19:25:27,151,1.120772031
6Dy8qbI,AIRPU,코웨이,노블 공기청정기 15평형,AP-1521B,"장점 :
핸드폰으로 원격 조종 되서 편리하다. 디자인도 이뻐서 거실 인테리어 하기에 딱 좋다. 기능이 많고 자동으로 조절되서 편하다.

단점 :
단점이 없는거 같다. 너무 편리하게 잘 쓰고 있습니다. 다른분에게 추천하고 있습니다 ㅎㅎ
",0,2,0,311,1,2022-06-24 0:01:47,151,0.2984271881
6Dy8qfP,AIRPU,LG,퓨리케어 360° 펫 공기청정기 플러스 30평형,AS301DNPRM,"장점 :
강아지도 아기들도 있는집인데, 아이들도 남편도 비염이 심한편인데 확실히 청정기돌리면서 재채기하는 횟수가 눈에띄게 줄었네요 :-) 

단점 :
단점이라기보단  밤엔 많이 조용한편이라 그런가 풀가속으로 돌아가면 소리가 살짝크네요
",0,2,0,321,1,2022-06-28 13:49:52,150,0.2996549245
6Dy8qfR,BIDET,코웨이,스스로케어 비데 (BAS29-C),BAS29-C,"장점 :
작동법이 복잡하지않아서 저학년아이 혼자서 너무잘 사용중입니다 노즐청소  기능덕에 매일 하루두번 세척하며 깨끗하게 유지중입니다 

단점 :
수압이 조금약하다할까요?  아이가쓰기에는 딱좋은데 너무강한 세정을 원하시면 아쉬울수있을듯 합니다
",0,2,0,342,1,2022-07-04 22:58:15,149,0.3008949999
6Dy8qjQ,BIDET,SK매직,올클린 버블 세정 비데,BIDS38DR26WH,"장점 :
도기세정이랑 노즐 청소 기능이 너무 좋았습니다 무언가 더 청결 해진 기분입니다

단점 :
단점은 아직까지 찾지 못했어여 딱히 불편한점은 없어영~~~ 
.....
",0,2,0,215,1,2022-07-07 12:26:10,149,-0.1965920814
